date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-06-24,moderna,fully_vaccinated,0,5,1750633,0,NA,0.14,0.01,NA,4.81,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-25,moderna,fully_vaccinated,1,6,1794864,0.06,NA,0.14,0.01,100,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-26,moderna,fully_vaccinated,0,6,1817777,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-27,moderna,fully_vaccinated,0,6,1827599,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,limited,2021-12-03_07-52-50
2021-06-28,moderna,fully_vaccinated,0,6,1870269,0,NA,0.14,0.01,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-06-29,moderna,fully_vaccinated,0,6,1917815,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-06-30,moderna,fully_vaccinated,0,6,1971828,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-01,moderna,fully_vaccinated,0,6,2019861,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-02,moderna,fully_vaccinated,0,6,2070404,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-03,moderna,fully_vaccinated,0,6,2104152,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-04,moderna,fully_vaccinated,0,6,2114352,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-05,moderna,fully_vaccinated,0,6,2163087,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-06,moderna,fully_vaccinated,0,6,2211628,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-07,moderna,fully_vaccinated,0,6,2259844,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-08,moderna,fully_vaccinated,0,6,2310645,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-09,moderna,fully_vaccinated,0,6,2358212,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-10,moderna,fully_vaccinated,0,6,2387149,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-11,moderna,fully_vaccinated,0,6,2395840,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-12,moderna,fully_vaccinated,0,6,2442654,0,NA,0,0,NA,5.71,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-13,moderna,fully_vaccinated,0,6,2489274,0,NA,0,0,0,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
2021-07-14,moderna,fully_vaccinated,0,6,2530213,0,NA,0,0,NA,5.66,NA,CHFL,COVID19Death,vaccine,intermediate,2021-12-03_07-52-50
